SessionIdentity,hour_num,stage,BG_psd,key2_psd,key3_psd,n_epoch
02R_04-29-22,4.0,N3,0.007963663,0.1708555,0.04910809,84
02R_04-29-22,5.0,N1,0.0070004603,0.03799836,0.00849332,14
02R_04-29-22,5.0,N2,0.010887325,0.08939087,0.02556168,339
02R_04-29-22,5.0,REM,0.009816545,0.037106466,0.009875587,1336
02R_04-29-22,6.0,N1,0.004699433,0.044192027,0.013413046,43
02R_04-29-22,6.0,N2,0.007443261,0.083774485,0.023788642,1428
02R_04-29-22,6.0,REM,0.0068351743,0.036264326,0.009552192,172
02R_04-29-22,7.0,N1,0.006596415,0.023164399,0.006749919,176
02R_04-29-22,7.0,N2,0.0065882327,0.061119992,0.01700247,670
02R_04-29-22,7.0,REM,0.23677848,0.033523604,0.008949113,608
02R_04-29-22,8.0,N1,0.40625563,0.027146967,0.007882861,99
02R_04-29-22,8.0,N2,0.021931235,0.08951787,0.025805166,1206
02R_04-29-22,8.0,REM,0.007345131,0.03128589,0.007827876,14
02R_04-30-22,0.0,N1,0.021617971,0.03428196,0.011305563,157
02R_04-30-22,0.0,N2,0.007653606,0.10450813,0.028695788,480
02R_04-30-22,0.0,N3,0.004100181,0.15785237,0.047482368,803
02R_04-30-22,1.0,N1,0.18901452,0.035770696,0.00941552,159
02R_04-30-22,1.0,N2,0.09817075,0.08382522,0.023939703,955
02R_04-30-22,1.0,N3,0.0043324037,0.15107682,0.04683511,322
02R_04-30-22,1.0,REM,0.047488917,0.046756838,0.011732889,236
02R_04-30-22,2.0,N1,1.0789515,0.056402005,0.017628418,111
02R_04-30-22,2.0,N2,0.012396901,0.114654884,0.03485706,989
02R_04-30-22,2.0,N3,0.8295216,0.17719536,0.049513813,152
02R_04-30-22,2.0,REM,0.29021785,0.031133825,0.008467872,178
02R_04-30-22,3.0,N1,0.0023011174,0.020297576,0.006263173,259
02R_04-30-22,3.0,N2,0.0029339765,0.08985928,0.027080629,1236
02R_04-30-22,3.0,REM,0.002802413,0.027067065,0.008376659,28
02R_04-30-22,4.0,N1,0.0030085582,0.030792108,0.007983875,140
02R_04-30-22,4.0,N2,0.003482667,0.13899179,0.041075867,242
02R_04-30-22,4.0,REM,0.0118212495,0.039007656,0.010556444,1213
02R_04-30-22,5.0,N1,0.00273629,0.021598857,0.0073172953,100
02R_04-30-22,5.0,N2,0.0024866872,0.07541838,0.018959556,102
02R_04-30-22,5.0,REM,0.0026714231,0.040540952,0.010458079,339
02R_05-03-22,0.0,N1,0.0022074615,0.02411564,0.006623928,269
02R_05-03-22,0.0,N2,0.0025342226,0.044295803,0.012246084,900
02R_05-03-22,0.0,N3,0.0031908303,0.10650097,0.025526615,149
02R_05-03-22,1.0,N1,0.00220161,0.034347557,0.009095971,113
02R_05-03-22,1.0,N2,0.0031858964,0.085895486,0.022130331,953
02R_05-03-22,1.0,N3,0.0042773625,0.13790864,0.03769772,525
02R_05-03-22,2.0,N1,0.0020800533,0.02594151,0.0071147624,174
02R_05-03-22,2.0,N2,0.015807325,0.09714575,0.025331194,1228
02R_05-03-22,2.0,REM,0.0023045484,0.032060537,0.008801337,43
02R_05-03-22,3.0,N1,0.0030824535,0.043218963,0.011544212,114
02R_05-03-22,3.0,N2,0.003905042,0.1003766,0.025369138,1039
02R_05-03-22,3.0,N3,0.005609297,0.15771592,0.03872097,521
02R_05-03-22,4.0,N1,0.0023203213,0.033787936,0.008478039,85
02R_05-03-22,4.0,N2,0.0041820146,0.10491455,0.025641086,439
02R_05-03-22,4.0,REM,0.0025353704,0.029084226,0.0070358017,382
02R_05-04-22,0.0,N1,0.002645425,0.02423976,0.0065713883,88
02R_05-04-22,0.0,N2,0.048232034,0.068058,0.019361697,281
02R_05-04-22,0.0,N3,0.003953505,0.14479107,0.041215044,1002
02R_05-04-22,1.0,N1,0.002196514,0.028259348,0.0064643202,44
02R_05-04-22,1.0,N2,0.0026641493,0.10563858,0.02730931,835
02R_05-04-22,1.0,N3,0.0044846237,0.17476076,0.046986595,576
02R_05-04-22,1.0,REM,0.002037492,0.04788686,0.011339621,312
02R_05-04-22,2.0,N1,0.0021958663,0.029152116,0.009656843,74
02R_05-04-22,2.0,N2,0.002693608,0.08532672,0.022591298,1120
02R_05-04-22,2.0,N3,0.0029485635,0.126264,0.03235486,293
02R_05-04-22,3.0,N1,0.0021463092,0.03498223,0.009696981,56
02R_05-04-22,3.0,N2,0.0027702088,0.092984594,0.025733566,920
02R_05-04-22,3.0,N3,0.0029271415,0.12769742,0.031840954,88
02R_05-04-22,3.0,REM,0.007137052,0.029236997,0.0075744917,595
